[0.012s] Invoking command in '/home/moonlab/ros2_ws/build/my_sim_tesi_gazebo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/moonlab/ros2_ws/install/turtlebot3_control:/opt/ros/humble /usr/bin/cmake --build /home/moonlab/ros2_ws/build/my_sim_tesi_gazebo -- -j24 -l24
[0.026s] -- Found ament_cmake: 1.3.12 (/opt/ros/humble/share/ament_cmake/cmake)
[0.098s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.103s] -- Found ament_lint_auto: 0.12.14 (/opt/ros/humble/share/ament_lint_auto/cmake)
[0.143s] -- Configuring done
[0.145s] -- Generating done
[0.146s] -- Build files have been written to: /home/moonlab/ros2_ws/build/my_sim_tesi_gazebo
[0.163s] Invoked command in '/home/moonlab/ros2_ws/build/my_sim_tesi_gazebo' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/moonlab/ros2_ws/install/turtlebot3_control:/opt/ros/humble /usr/bin/cmake --build /home/moonlab/ros2_ws/build/my_sim_tesi_gazebo -- -j24 -l24
[0.169s] Invoking command in '/home/moonlab/ros2_ws/build/my_sim_tesi_gazebo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/moonlab/ros2_ws/install/turtlebot3_control:/opt/ros/humble /usr/bin/cmake --install /home/moonlab/ros2_ws/build/my_sim_tesi_gazebo
[0.174s] -- Install configuration: ""
[0.174s] -- Execute custom install script
[0.174s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share///launch/sim_launch.py
[0.186s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/scripts/model.material
[0.192s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/textures/BOXSET_Albedo.png
[0.198s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/textures/BOXSET_Emissive.png
[0.203s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/textures/BOXSET_Metalness.png
[0.209s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/textures/BOXSET_Normal.png
[0.215s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/textures/BOXSET_Roughness.png
[0.221s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/textures/Crates_Crates_BaseColor.png
[0.227s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/textures/Crates_Crates_Normal.png
[0.234s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/textures/Crates_Crates_Roughness.png
[0.240s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/textures/DepotLightmap.png
[0.246s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/textures/FANS_Albedo.png
[0.252s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/textures/FANS_Metalness.png
[0.258s] -- Symlinking: /home/moonlab/ros2_ws/install/my_sim_tesi_gazebo/share//models/Depot/materials/textures/FANS_Normal.png
